Date;AAPL;MSFT;GOOG
2024-12-23;254.3670349;432.87146;195.3573456
2024-12-24;257.2866516;436.9291077;196.9322205
2024-12-26;258.1037292;435.7157898;196.4637451
2024-12-27;254.6858826;428.1772156;193.41362
2024-12-30;251.3078766;422.5083618;192.0679932
2024-12-31;249.5341797;419.1965637;189.8252411
2025-01-02;242.9874268;416.292511;190.0146332
2025-01-03;242.4991455;421.036499;192.5065765
2025-01-06;244.1333466;425.5118713;197.3209839
2025-01-07;241.3532257;420.0617981;196.0750122
2025-01-08;241.8414764;422.2398071;194.7592773
2025-01-10;236.0121765;416.6605225;192.5464325
2025-01-13;233.5708466;414.9101257;191.6692657
2025-01-14;232.4548035;413.3984375;190.4332886
2025-01-15;237.0285645;423.9802856;196.3441315
2025-01-16;227.4525757;422.2597046;193.7824402
2025-01-17;229.1664734;426.6854248;196.9123077
2025-01-21;221.8524475;426.1583252;198.9855804
2025-01-22;223.0382233;443.7616272;199.3842926
2025-01-23;222.8688507;444.2687683;198.9357452
2025-01-24;221.9919434;441.6333008;201.2482452
2025-01-27;229.0469055;432.1852112;193.1445007
2025-01-28;237.4171753;444.756134;196.4338684
2025-01-29;238.5133057;439.9127197;196.5434723
2025-01-30;236.7495575;412.7221375;201.9759064
2025-01-31;235.1651917;412.791748;204.9363098
2025-02-03;227.2034454;408.6743774;201.9858551
2025-02-04;231.9765167;410.1164551;207.039505
2025-02-05;231.6476746;411.0314636;192.6760101
2025-02-06;232.3950195;413.5475769;192.6859589
2025-02-07;226.8247986;407.5107727;186.5359039
2025-02-10;227.0941162;409.9672852;187.5924683
2025-02-11;232.0519867;409.1915283;186.4661255
2025-02-12;236.2916107;406.804657;184.8314056
2025-02-13;240.9402313;408.2964478;187.2735291
2025-02-14;244.0027466;406.1979675;186.2667694
2025-02-18;243.8730621;407.4013977;185.2002106
2025-02-19;244.2720795;412.5033264;186.5259399
2025-02-20;245.2297516;414.6857605;186.0375061
2025-02-21;244.9504242;406.7932129;180.9938354
2025-02-24;246.4966431;402.5978394;180.6051025
2025-02-25;246.4367828;396.5190125;176.7974396
2025-02-26;239.7731018;398.3426819;174.1360474
2025-02-27;236.7205658;391.1676331;169.6605682
2025-02-28;241.2494812;395.6121521;171.6640625
2025-03-03;237.4487762;387.1416626;168.1155548
2025-03-04;235.3539124;387.2612305;172.0527954
2025-03-05;235.1643829;399.6281738;174.4251251
2025-03-06;234.7553864;395.5125427;173.647644
2025-03-07;238.4862518;391.9449463;175.182663
2025-03-10;226.9245453;378.8405762;167.4588623
2025-03-11;220.3007507;379.1296082;165.6326904
2025-03-12;216.4501801;381.9397888;168.6463623
2025-03-13;209.1679993;377.4553833;164.3852997
2025-03-14;212.9687042;387.2114258;167.2692566
2025-03-17;213.4774628;387.3509521;166.2214508
2025-03-18;212.1706696;382.1889343;162.3296051
2025-03-19;214.7144318;386.473999;165.9320526
2025-03-20;213.5772247;385.497406;164.7046356
2025-03-21;217.7370453;389.9020691;165.9021301
2025-03-24;220.1910248;391.7157288;169.5744171
2025-03-25;223.2036591;393.7885437;172.4284363
2025-03-26;220.9890747;388.6165466;166.7902527
2025-03-27;223.303421;389.2243958;163.7366638
2025-03-28;217.3679352;377.4852905;155.7334442
2025-03-31;221.587616;374.0871582;155.9030914
